Name,Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
HCL,19-07-2013,33.4,33.5,33.05,33.3,33.15,205217,68.25
HCL,18-07-2013,33.25,33.7,33.25,33.25,33.3,129596,43.24
HCL,17-07-2013,33.2,33.8,33.15,33.25,33.3,206926,68.97
HCL,16-07-2013,33.85,34,33.45,33.5,33.5,344567,115.45
HCL,15-07-2013,34,34.65,33.35,34,34,1057319,359.47
HCL,12-07-2013,34.3,34.3,33.2,33.5,33.45,124999,41.82
HCL,11-07-2013,33.9,33.9,33.3,33.35,33.55,172086,57.72
HCL,10-07-2013,33.2,34.15,33.2,33.5,33.4,251582,84.05
HCL,09-07-2013,34.5,34.5,33.1,33.5,33.4,344082,115.2
HCL,08-07-2013,33,33.5,33,33.25,33.25,65322,21.71
HCL,05-07-2013,34,34.4,33.85,33.9,33.9,233959,79.36
HCL,04-07-2013,34,34.15,33.7,34.05,34,66083,22.44
HCL,03-07-2013,33.7,34.15,33.05,34,34,140296,47.61
HCL,02-07-2013,34.3,34.3,33.55,34,34,90639,30.66
HCL,01-07-2013,34.45,34.45,33.1,34,33.9,46156,15.6
HCL,28-06-2013,33,33.6,32.85,33.1,33.3,43898,14.57
HCL,27-06-2013,33,33.15,32.6,32.95,32.9,22949,7.55
HCL,26-06-2013,33.5,33.5,32.25,32.6,32.6,114649,37.37
HCL,25-06-2013,32.65,33.2,32,33,32.85,68884,22.6
HCL,24-06-2013,33.5,33.75,32.2,33,32.85,29956,9.85
HCL,21-06-2013,33,33.9,32.6,33.75,33.4,60685,20.02
HCL,20-06-2013,33,33.5,32.65,33,33,32464,10.75
HCL,19-06-2013,33.15,33.75,32.5,33.75,33.5,47809,15.92
HCL,18-06-2013,33.5,33.9,32.95,33.4,33.1,40081,13.32
HCL,17-06-2013,33.5,34,33,33.15,33.25,20635,6.86
HCL,14-06-2013,32.5,33.4,32.5,33.3,33.1,42442,13.94
HCL,13-06-2013,32,33,32,32.35,32.45,28016,9.1
HCL,12-06-2013,33,33.45,31,32.5,32.45,103526,33.82
HCL,11-06-2013,34,34,33.1,33.1,33.25,49721,16.61
HCL,10-06-2013,34,34.35,33.5,33.95,34,64820,21.98
HCL,07-06-2013,33.7,34,33.55,33.8,33.85,94242,31.85
HCL,06-06-2013,34.35,34.9,33.15,33.75,33.85,56222,18.94
HCL,05-06-2013,34,34.35,33.45,33.75,33.85,105074,35.54
HCL,04-06-2013,33.65,33.75,33.25,33.35,33.5,42551,14.25
HCL,03-06-2013,33.7,34,33.1,33.15,33.2,50284,16.77
HCL,31-05-2013,34,34.35,33.5,33.75,33.7,169870,57.27
HCL,30-05-2013,34,34.5,33.8,34,34,161965,55.18
HCL,29-05-2013,34.5,34.95,34.05,34.1,34.1,97866,33.65
HCL,28-05-2013,34.45,35,34.45,34.5,34.5,52280,18.05
HCL,27-05-2013,34.7,35.5,34.25,34.5,34.5,73504,25.4
HCL,24-05-2013,34.75,36,34.55,35,35,81374,28.38
HCL,23-05-2013,35,35.3,34.5,34.5,34.6,80232,28.08
HCL,22-05-2013,35.5,35.85,35.15,35.3,35.25,53866,19.03
HCL,21-05-2013,34.8,35.65,34.8,35.4,35.3,77476,27.36
HCL,20-05-2013,35.8,35.8,35.15,35.5,35.5,315749,112.06
HCL,17-05-2013,35.4,35.8,35.4,35.7,35.6,83716,29.79
HCL,16-05-2013,35.55,36,35.5,35.55,35.6,92174,32.88
HCL,15-05-2013,35.75,36.2,35.4,35.75,35.6,254753,90.94
HCL,14-05-2013,37.7,37.85,35.5,35.6,35.7,1514595,554.28
HCL,13-05-2013,36,38,35.55,36.7,36.7,571359,209.41
HCL,11-05-2013,36.9,36.9,36,36.35,36.3,27998,10.19
HCL,10-05-2013,37.4,37.4,35.5,36.1,36.25,216582,78.75
HCL,09-05-2013,37.95,38.3,37.25,37.5,37.4,140292,52.59
HCL,08-05-2013,37.65,39,37.25,37.55,37.45,75781,28.54
HCL,07-05-2013,37.55,38.2,37.5,37.6,37.65,37747,14.27
HCL,06-05-2013,38.3,38.7,37.7,37.85,37.85,43543,16.56
HCL,03-05-2013,38.9,38.9,38.05,38.15,38.3,38313,14.68
HCL,02-05-2013,39,39.1,38,38.6,38.65,67442,26.13
HCL,30-04-2013,40,40,38.7,39,39,184007,71.73
HCL,29-04-2013,39,39.5,38.75,39,39,366154,142.99
HCL,26-04-2013,39,40.4,39,39.35,39.3,242146,95.87
HCL,25-04-2013,38.15,40.6,38.15,39.8,39.5,283368,112.35
HCL,23-04-2013,38.6,39.6,38.6,39.6,39.35,67259,26.33
HCL,22-04-2013,38.5,39.55,38.5,39.05,39,74643,29.11
HCL,18-04-2013,39,39.25,38.65,39.05,39,100321,39.17
HCL,17-04-2013,38.3,39.15,38.3,39.1,39,68146,26.43
